dt,AverageTemperature,AverageTemperatureUncertainty,Country
1811-05-01,25.374,2.888,Algeria
1811-06-01,30.44,3.404,Algeria
1811-07-01,31.542,2.776,Algeria
1811-08-01,32.066,3.415,Algeria
1811-09-01,28.658,2.419,Algeria
1811-10-01,21.718,3.621,Algeria
1811-11-01,16.143,3.996,Algeria
1811-12-01,12.26,2.439,Algeria
1812-01-01,9.731,2.263,Algeria
1812-02-01,12.322,1.809,Algeria
1812-03-01,15.512,3.169,Algeria
1812-04-01,21.214,3.046,Algeria
1812-05-01,25.086,2.562,Algeria
1812-06-01,30.472,1.606,Algeria
1812-07-01,32.884,2.257,Algeria
1812-08-01,33.647,4.193,Algeria
1812-09-01,28.195,1.659,Algeria
1812-10-01,22.445,2.681,Algeria
1812-11-01,17.134,2.66,Algeria
1812-12-01,11.732,2.667,Algeria
1813-01-01,9.526,3.428,Algeria
1813-02-01,13.551,1.721,Algeria
1813-03-01,16.181,6.109,Algeria
1813-04-01,22.066,1.799,Algeria
1813-05-01,27.27,5.041,Algeria
1813-06-01,30.822,2.384,Algeria
1813-07-01,32.79,1.746,Algeria
1813-08-01,31.893,1.612,Algeria
1813-09-01,29.031,2.118,Algeria
1813-10-01,23.514,1.669,Algeria
1813-11-01,18.293,2.327,Algeria
1813-12-01,11.894,2.543,Algeria
1814-01-01,10.655,3.187,Algeria
1814-02-01,13.001,1.886,Algeria
1814-03-01,16.802,2.037,Algeria
1814-04-01,21.303,1.975,Algeria
1814-05-01,24.719,2.056,Algeria
1814-06-01,31.153,1.906,Algeria
1814-07-01,31.333,2.766,Algeria
1814-08-01,31.774,1.996,Algeria
1814-09-01,27.687,1.988,Algeria
1814-10-01,22.209,3.393,Algeria
1814-11-01,18.359,4.933,Algeria
1814-12-01,14.067,5.774,Algeria
1815-01-01,11.437,2.031,Algeria
1815-02-01,14.149,4.556,Algeria
1815-03-01,17.609,3.55,Algeria
1815-04-01,21.919,2.246,Algeria
1815-05-01,26.532,2.503,Algeria
1815-06-01,29.169,2.403,Algeria
1815-07-01,33.445,2.481,Algeria
1815-08-01,31.855,2.18,Algeria
1815-09-01,29.085,1.956,Algeria
1815-10-01,22.536,3.142,Algeria
1815-11-01,16.406,2.228,Algeria
1815-12-01,11.376,2.394,Algeria
1816-01-01,11.626,3.087,Algeria
1816-02-01,11.847,2.414,Algeria
1816-03-01,16.938,2.312,Algeria
1816-04-01,21.505,3.447,Algeria
1816-05-01,26.919,2.285,Algeria
1816-06-01,29.609,1.792,Algeria
1816-07-01,31.694,1.826,Algeria
1816-08-01,31.611,1.711,Algeria
1816-09-01,27.986,1.616,Algeria
1816-10-01,21.816,5.434,Algeria
1816-11-01,16.71,6.149,Algeria
1816-12-01,11.895,1.963,Algeria
1817-01-01,11.741,4.339,Algeria
1817-02-01,15.507,2.676,Algeria
1817-03-01,19.109,2.568,Algeria
1817-04-01,21.961,2.134,Algeria
1817-05-01,25.991,2.558,Algeria
1817-06-01,29.932,2.064,Algeria
1817-07-01,32.055,1.771,Algeria
1817-08-01,32.399,2.39,Algeria
1817-09-01,27.389,2.429,Algeria
1817-10-01,22.695,2.521,Algeria
1817-11-01,17.698,2.043,Algeria
1817-12-01,11.409,1.851,Algeria
1818-01-01,11.604,3.453,Algeria
1818-02-01,14.179,1.952,Algeria
1818-03-01,19.771,2.309,Algeria
1818-04-01,23.441,5.086,Algeria
1818-05-01,26.91,2.887,Algeria
1818-06-01,31.249,3.757,Algeria
1818-07-01,32.943,3.03,Algeria
1818-08-01,32.08,1.775,Algeria
1818-09-01,28.761,2.729,Algeria
